loja_id,equipamento_id,tipo_equipamento,modelo,criticidade,setpoint_temperatura
L01,COMP_L01_01,compressor,Copeland_ZB,alta,-18.0
L01,COMP_L01_02,compressor,Copeland_ZB,alta,-18.0
L01,COMP_L01_03,compressor,Copeland_ZB,alta,-18.0
L01,COMP_L01_04,compressor,Copeland_ZB,alta,-18.0
L01,COMP_L01_05,compressor,Copeland_ZB,alta,-18.0
L02,COMP_L02_01,compressor,Copeland_ZB,alta,-18.0
L02,COMP_L02_02,compressor,Copeland_ZB,alta,-18.0
L02,COMP_L02_03,compressor,Copeland_ZB,alta,-18.0
L02,COMP_L02_04,compressor,Copeland_ZB,alta,-18.0
L02,COMP_L02_05,compressor,Copeland_ZB,alta,-18.0
L03,COMP_L03_01,compressor,Copeland_ZB,alta,-18.0
L03,COMP_L03_02,compressor,Copeland_ZB,alta,-18.0
L03,COMP_L03_03,compressor,Copeland_ZB,alta,-18.0
L03,COMP_L03_04,compressor,Copeland_ZB,alta,-18.0
L03,COMP_L03_05,compressor,Copeland_ZB,alta,-18.0
L04,COMP_L04_01,compressor,Copeland_ZB,alta,-18.0
L04,COMP_L04_02,compressor,Copeland_ZB,alta,-18.0
L04,COMP_L04_03,compressor,Copeland_ZB,alta,-18.0
L04,COMP_L04_04,compressor,Copeland_ZB,alta,-18.0
L04,COMP_L04_05,compressor,Copeland_ZB,alta,-18.0
L05,COMP_L05_01,compressor,Copeland_ZB,alta,-18.0
L05,COMP_L05_02,compressor,Copeland_ZB,alta,-18.0
L05,COMP_L05_03,compressor,Copeland_ZB,alta,-18.0
L05,COMP_L05_04,compressor,Copeland_ZB,alta,-18.0
L05,COMP_L05_05,compressor,Copeland_ZB,alta,-18.0
L06,COMP_L06_01,compressor,Copeland_ZB,alta,-18.0
L06,COMP_L06_02,compressor,Copeland_ZB,alta,-18.0
L06,COMP_L06_03,compressor,Copeland_ZB,alta,-18.0
L06,COMP_L06_04,compressor,Copeland_ZB,alta,-18.0
L06,COMP_L06_05,compressor,Copeland_ZB,alta,-18.0
L07,COMP_L07_01,compressor,Copeland_ZB,alta,-18.0
L07,COMP_L07_02,compressor,Copeland_ZB,alta,-18.0
L07,COMP_L07_03,compressor,Copeland_ZB,alta,-18.0
L07,COMP_L07_04,compressor,Copeland_ZB,alta,-18.0
L07,COMP_L07_05,compressor,Copeland_ZB,alta,-18.0
L08,COMP_L08_01,compressor,Copeland_ZB,alta,-18.0
L08,COMP_L08_02,compressor,Copeland_ZB,alta,-18.0
L08,COMP_L08_03,compressor,Copeland_ZB,alta,-18.0
L08,COMP_L08_04,compressor,Copeland_ZB,alta,-18.0
L08,COMP_L08_05,compressor,Copeland_ZB,alta,-18.0
L09,COMP_L09_01,compressor,Copeland_ZB,alta,-18.0
L09,COMP_L09_02,compressor,Copeland_ZB,alta,-18.0
L09,COMP_L09_03,compressor,Copeland_ZB,alta,-18.0
L09,COMP_L09_04,compressor,Copeland_ZB,alta,-18.0
L09,COMP_L09_05,compressor,Copeland_ZB,alta,-18.0
L10,COMP_L10_01,compressor,Copeland_ZB,alta,-18.0
L10,COMP_L10_02,compressor,Copeland_ZB,alta,-18.0
L10,COMP_L10_03,compressor,Copeland_ZB,alta,-18.0
L10,COMP_L10_04,compressor,Copeland_ZB,alta,-18.0
L10,COMP_L10_05,compressor,Copeland_ZB,alta,-18.0
