timestamp,loja_id,equipamento_id,temperatura_interna,temperatura_ambiente,corrente,consumo_kw,pressao_succao,pressao_descarga,tempo_ciclo_min,partidas_ult_1h,alarme_ativo,em_degradacao,falha_ativa,falha_24h
2026-01-01 00:00:00,L01,COMP_L01_01,-17.6,26.4,10.7,3.7,23.3,209.8,13,3,0,0,0,0
2026-01-01 00:15:00,L01,COMP_L01_01,-18.0,26.9,10.7,3.7,22.5,208.8,14,2,0,0,0,0
2026-01-01 00:30:00,L01,COMP_L01_01,-17.5,25.7,10.9,3.6,22.9,211.2,14,3,0,0,0,0
2026-01-01 00:45:00,L01,COMP_L01_01,-17.7,25.6,10.8,3.6,23.7,209.1,14,2,0,0,0,0
2026-01-01 01:00:00,L01,COMP_L01_01,-17.1,27.5,11.3,3.4,22.8,210.0,14,1,0,0,0,0
2026-01-01 01:15:00,L01,COMP_L01_01,-17.3,27.4,11.1,3.6,23.2,203.7,12,3,0,0,0,0
2026-01-01 01:30:00,L01,COMP_L01_01,-17.8,26.0,11.7,3.3,23.5,202.8,12,3,0,0,0,0
2026-01-01 01:45:00,L01,COMP_L01_01,-17.1,27.5,11.4,3.4,22.1,212.9,12,2,0,0,0,0
2026-01-01 02:00:00,L01,COMP_L01_01,-18.1,25.0,11.3,3.5,23.3,207.8,13,3,0,0,0,0
2026-01-01 02:15:00,L01,COMP_L01_01,-17.6,27.1,10.8,3.4,22.2,204.7,14,2,0,0,0,0
2026-01-01 02:30:00,L01,COMP_L01_01,-17.4,27.1,11.3,3.6,22.5,207.8,14,2,0,0,0,0
2026-01-01 02:45:00,L01,COMP_L01_01,-18.3,24.4,10.7,3.6,21.7,208.0,14,3,0,0,0,0
2026-01-01 03:00:00,L01,COMP_L01_01,-17.0,25.0,11.0,3.3,22.2,212.9,14,1,0,0,0,0
2026-01-01 03:15:00,L01,COMP_L01_01,-17.3,25.5,10.5,3.5,22.0,210.4,12,2,0,0,0,0
2026-01-01 03:30:00,L01,COMP_L01_01,-17.6,24.9,11.1,3.5,23.9,212.9,13,1,0,0,0,0
